品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
机械革命,笔记本电脑,天猫,已成交,2026-06,8764.41,9192.41,9192.41,采购订单,PC 经营采购,顾客0194,顾客0194,1**********,1**********
ThinkPad,游戏本,京东,已成交,2026-04,7275.61,7248.65,7248.65,销售订单,PC 经营采购,顾客0195,顾客0195,1**********,1**********
七彩虹,显示器,京东,已成交,2026-05,8335.06,8384.42,8384.42,采购订单,PC 经营采购,顾客0196,顾客0196,1**********,1**********
联想（Lenovo）,台式整机,拼多多,已成交,2026-08,7703.84,7448.73,7448.73,销售订单,PC 经营采购,顾客0197,顾客0197,1**********,1**********
七彩虹,一体机,拼多多,已成交,2026-05,9365.91,8981.73,8981.73,采购订单,PC 经营采购,顾客0198,顾客0198,1**********,1**********
华硕（ASUS）,轻薄本,抖音,已成交,2026-02,7887.68,9006.7,9006.7,采购订单,PC 经营采购,顾客0199,顾客0199,1**********,1**********
机械革命,游戏本,快手,已成交,2026-03,10140.74,7934.87,7934.87,销售订单,PC 经营采购,顾客0200,顾客0200,1**********,1**********
华硕（ASUS）,电脑配件,快手,新建采购,2026-05,,9614.41,1023.66,退换订单,PC 经营采购,顾客0201,顾客0201,1**********,1**********
雷神,轻薄本,淘宝,已成交,2026-07,8297.24,9724.25,9724.25,退换订单,PC 经营采购,顾客0202,顾客0202,1**********,1**********
华硕（ASUS）,笔记本电脑,天猫,已成交,2026-08,8919.53,7883.45,7883.45,退换订单,PC 经营采购,顾客0203,顾客0203,1**********,1**********
ThinkPad,台式整机,拼多多,已成交,2026-04,8039.54,7107.14,7107.14,销售订单,PC 经营采购,顾客0204,顾客0204,1**********,1**********
微星,显示器,淘宝,待发布,2026-04,,9191.31,1954.55,采购订单,PC 经营采购,顾客0205,顾客0205,1**********,1**********
雷神,显示器,天猫,撤销,2026-07,,9709.42,1862.14,采购订单,PC 经营采购,顾客0206,顾客0206,1**********,1**********
雷神,台式整机,淘宝,已成交,2026-01,8889.72,8642.04,8642.04,退换订单,PC 经营采购,顾客0207,顾客0207,1**********,1**********
ThinkPad,显示器,天猫,已成交,2026-08,8102.13,6574.2,6574.2,采购订单,PC 经营采购,顾客0208,顾客0208,1**********,1**********
华硕（ASUS）,一体机,拼多多,报价中,2026-03,,8221.52,541.08,销售订单,PC 经营采购,顾客0209,顾客0209,1**********,1**********
惠普(HP),台式整机,京东,已成交,2026-04,7439.67,7093.14,7093.14,销售订单,PC 经营采购,顾客0210,顾客0210,1**********,1**********
机械革命,显示器,天猫,报价中,2026-06,,10523.92,2672.62,销售订单,PC 经营采购,顾客0211,顾客0211,1**********,1**********
华硕（ASUS）,一体机,拼多多,已成交,2026-02,8603.63,9023.34,9023.34,销售订单,PC 经营采购,顾客0212,顾客0212,1**********,1**********
惠普(HP),电脑配件,淘宝,撤销,2026-01,,7605.46,1596.95,采购订单,PC 经营采购,顾客0213,顾客0213,1**********,1**********
雷神,一体机,拼多多,已成交,2026-06,9524.62,9645.92,9645.92,销售订单,PC 经营采购,顾客0214,顾客0214,1**********,1**********
七彩虹,一体机,淘宝,已成交,2026-02,7679.78,9204.64,9204.64,销售订单,PC 经营采购,顾客0215,顾客0215,1**********,1**********
联想（Lenovo）,台式整机,快手,撤销,2026-03,,6055.64,416.27,退换订单,PC 经营采购,顾客0216,顾客0216,1**********,1**********
宏碁（acer）,台式整机,拼多多,撤销,2026-05,,7604.41,1327.13,退换订单,PC 经营采购,顾客0217,顾客0217,1**********,1**********
ThinkPad,轻薄本,快手,待发布,2026-07,,8470.55,1771.81,退换订单,PC 经营采购,顾客0218,顾客0218,1**********,1**********
惠普(HP),电脑配件,电商通,已成交,2026-02,8169.15,8818.89,8818.89,采购订单,PC 经营采购,顾客0219,顾客0219,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-06,6230.61,5845.86,5845.86,退换订单,PC 经营采购,顾客0220,顾客0220,1**********,1**********
微星,台式整机,快手,已成交,2026-03,10248.2,9303.16,9303.16,采购订单,PC 经营采购,顾客0221,顾客0221,1**********,1**********
联想（Lenovo）,台式整机,电商通,已成交,2026-01,6134.82,6752.41,6752.41,退换订单,PC 经营采购,顾客0222,顾客0222,1**********,1**********
雷神,笔记本电脑,淘宝,已成交,2026-05,7791.71,9340.41,9340.41,销售订单,PC 经营采购,顾客0223,顾客0223,1**********,1**********
联想（Lenovo）,一体机,拼多多,报价中,2026-04,,7173.34,1005.42,采购订单,PC 经营采购,顾客0224,顾客0224,1**********,1**********
雷神,显示器,拼多多,已成交,2026-08,8845.33,8844.38,8844.38,销售订单,PC 经营采购,顾客0225,顾客0225,1**********,1**********
ThinkPad,显示器,淘宝,已成交,2026-02,6293.57,6732.54,6732.54,退换订单,PC 经营采购,顾客0226,顾客0226,1**********,1**********
机械革命,游戏本,淘宝,已成交,2026-08,9121.36,10886.64,10886.64,退换订单,PC 经营采购,顾客0227,顾客0227,1**********,1**********
宏碁（acer）,台式整机,电商通,报价中,2026-05,,6012.27,863.25,销售订单,PC 经营采购,顾客0228,顾客0228,1**********,1**********
惠普(HP),笔记本电脑,淘宝,报价中,2026-03,,8944.83,1824.47,采购订单,PC 经营采购,顾客0229,顾客0229,1**********,1**********
惠普(HP),一体机,拼多多,已成交,2026-02,8947.23,9205.75,9205.75,退换订单,PC 经营采购,顾客0230,顾客0230,1**********,1**********
联想（Lenovo）,笔记本电脑,淘宝,已成交,2026-06,7614.25,7673.96,7673.96,采购订单,PC 经营采购,顾客0231,顾客0231,1**********,1**********
联想（Lenovo）,台式整机,天猫,已成交,2026-01,7753.69,6401.19,6401.19,销售订单,PC 经营采购,顾客0232,顾客0232,1**********,1**********
雷神,台式整机,拼多多,已成交,2026-02,7734.34,8649.94,8649.94,退换订单,PC 经营采购,顾客0233,顾客0233,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,已成交,2026-05,8564.23,8874.74,8874.74,采购订单,PC 经营采购,顾客0234,顾客0234,1**********,1**********
ThinkPad,显示器,电商通,已成交,2026-06,6965.26,7593.03,7593.03,销售订单,PC 经营采购,顾客0235,顾客0235,1**********,1**********
华硕（ASUS）,笔记本电脑,抖音,报价中,2026-08,,10004.17,2387.36,采购订单,PC 经营采购,顾客0236,顾客0236,1**********,1**********
惠普(HP),轻薄本,淘宝,已成交,2026-06,8330.75,7010.51,7010.51,销售订单,PC 经营采购,顾客0237,顾客0237,1**********,1**********
七彩虹,显示器,电商通,已成交,2026-04,7878.24,7065.07,7065.07,采购订单,PC 经营采购,顾客0238,顾客0238,1**********,1**********
七彩虹,显示器,电商通,撤销,2026-05,,6815.24,1765.62,退换订单,PC 经营采购,顾客0239,顾客0239,1**********,1**********
七彩虹,显示器,抖音,已成交,2026-03,7770.17,9730.14,9730.14,退换订单,PC 经营采购,顾客0240,顾客0240,1**********,1**********
联想（Lenovo）,显示器,淘宝,已成交,2026-03,6559.03,7248.32,7248.32,采购订单,PC 经营采购,顾客0241,顾客0241,1**********,1**********
雷神,一体机,拼多多,已成交,2026-06,7603.15,7921.63,7921.63,采购订单,PC 经营采购,顾客0242,顾客0242,1**********,1**********
微星,显示器,淘宝,已成交,2026-07,10457.21,9600.42,9600.42,销售订单,PC 经营采购,顾客0243,顾客0243,1**********,1**********
雷神,台式整机,抖音,已成交,2026-06,9114.88,9634.41,9634.41,退换订单,PC 经营采购,顾客0244,顾客0244,1**********,1**********
七彩虹,轻薄本,抖音,报价中,2026-07,,9323.79,2782.29,退换订单,PC 经营采购,顾客0245,顾客0245,1**********,1**********
华硕（ASUS）,轻薄本,淘宝,已成交,2026-04,7993.3,7463.35,7463.35,销售订单,PC 经营采购,顾客0246,顾客0246,1**********,1**********
雷神,轻薄本,电商通,报价中,2026-03,,9693.4,2718.3,采购订单,PC 经营采购,顾客0247,顾客0247,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,撤销,2026-08,,8724.39,15.23,退换订单,PC 经营采购,顾客0248,顾客0248,1**********,1**********
ThinkPad,显示器,拼多多,已成交,2026-08,7350.3,7615.65,7615.65,销售订单,PC 经营采购,顾客0249,顾客0249,1**********,1**********
华硕（ASUS）,显示器,抖音,已成交,2026-07,9859.04,7882.84,7882.84,退换订单,PC 经营采购,顾客0250,顾客0250,1**********,1**********
联想（Lenovo）,电脑配件,电商通,撤销,2026-03,,6692.8,146.97,退换订单,PC 经营采购,顾客0251,顾客0251,1**********,1**********
微星,轻薄本,电商通,新建采购,2026-03,,10985.73,3078.42,退换订单,PC 经营采购,顾客0252,顾客0252,1**********,1**********
惠普(HP),电脑配件,京东,报价中,2026-06,,7362.47,1228.16,退换订单,PC 经营采购,顾客0253,顾客0253,1**********,1**********
联想（Lenovo）,台式整机,拼多多,撤销,2026-01,,5774.4,363.73,退换订单,PC 经营采购,顾客0254,顾客0254,1**********,1**********
惠普(HP),轻薄本,拼多多,撤销,2026-08,,6849.1,795.58,销售订单,PC 经营采购,顾客0255,顾客0255,1**********,1**********
微星,台式整机,电商通,撤销,2026-01,,9701.43,2145.97,退换订单,PC 经营采购,顾客0256,顾客0256,1**********,1**********
宏碁（acer）,轻薄本,京东,已成交,2026-03,6697.04,6730.52,6730.52,退换订单,PC 经营采购,顾客0257,顾客0257,1**********,1**********
雷神,一体机,天猫,已成交,2026-02,8827.62,7797.52,7797.52,退换订单,PC 经营采购,顾客0258,顾客0258,1**********,1**********
雷神,一体机,天猫,撤销,2026-01,,10178.62,1549.16,销售订单,PC 经营采购,顾客0259,顾客0259,1**********,1**********
宏碁（acer）,游戏本,淘宝,已成交,2026-08,6269.65,8148.21,8148.21,退换订单,PC 经营采购,顾客0260,顾客0260,1**********,1**********
ThinkPad,游戏本,京东,已成交,2026-05,7733.23,7278.03,7278.03,退换订单,PC 经营采购,顾客0261,顾客0261,1**********,1**********
雷神,电脑配件,拼多多,报价中,2026-02,,7926.84,2071.69,采购订单,PC 经营采购,顾客0262,顾客0262,1**********,1**********
微星,台式整机,抖音,撤销,2026-02,,8770.46,79.65,销售订单,PC 经营采购,顾客0263,顾客0263,1**********,1**********
华硕（ASUS）,轻薄本,淘宝,已成交,2026-08,8557.04,7225.73,7225.73,销售订单,PC 经营采购,顾客0264,顾客0264,1**********,1**********
机械革命,笔记本电脑,电商通,已成交,2026-08,9449.05,10638.01,10638.01,销售订单,PC 经营采购,顾客0265,顾客0265,1**********,1**********
宏碁（acer）,游戏本,天猫,报价中,2026-03,,7532.02,771.78,采购订单,PC 经营采购,顾客0266,顾客0266,1**********,1**********
雷神,笔记本电脑,抖音,待发布,2026-02,,7380.87,524.33,退换订单,PC 经营采购,顾客0267,顾客0267,1**********,1**********
惠普(HP),游戏本,电商通,已成交,2026-04,8099.2,9034.45,9034.45,销售订单,PC 经营采购,顾客0268,顾客0268,1**********,1**********
ThinkPad,笔记本电脑,拼多多,撤销,2026-07,,6320.86,58.56,退换订单,PC 经营采购,顾客0269,顾客0269,1**********,1**********
宏碁（acer）,笔记本电脑,抖音,已成交,2026-02,6635.53,8393.12,8393.12,销售订单,PC 经营采购,顾客0270,顾客0270,1**********,1**********
惠普(HP),游戏本,抖音,已成交,2026-04,6745.76,8101.69,8101.69,采购订单,PC 经营采购,顾客0271,顾客0271,1**********,1**********
雷神,显示器,拼多多,已成交,2026-01,8945.59,8654.1,8654.1,采购订单,PC 经营采购,顾客0272,顾客0272,1**********,1**********
华硕（ASUS）,台式整机,淘宝,已成交,2026-02,7580.54,9123.05,9123.05,采购订单,PC 经营采购,顾客0273,顾客0273,1**********,1**********
联想（Lenovo）,显示器,快手,待发布,2026-06,,6715.12,10.23,销售订单,PC 经营采购,顾客0274,顾客0274,1**********,1**********
宏碁（acer）,游戏本,拼多多,已成交,2026-03,6984.69,7691.75,7691.75,退换订单,PC 经营采购,顾客0275,顾客0275,1**********,1**********
机械革命,一体机,京东,已成交,2026-02,8833.27,9067.35,9067.35,采购订单,PC 经营采购,顾客0276,顾客0276,1**********,1**********
雷神,笔记本电脑,拼多多,撤销,2026-06,,9044.06,665.0,采购订单,PC 经营采购,顾客0277,顾客0277,1**********,1**********
华硕（ASUS）,轻薄本,拼多多,新建采购,2026-02,,8998.33,1645.79,采购订单,PC 经营采购,顾客0278,顾客0278,1**********,1**********
惠普(HP),电脑配件,拼多多,已成交,2026-02,7320.64,9211.0,9211.0,退换订单,PC 经营采购,顾客0279,顾客0279,1**********,1**********
联想（Lenovo）,显示器,快手,待发布,2026-01,,7220.02,589.73,退换订单,PC 经营采购,顾客0280,顾客0280,1**********,1**********
机械革命,电脑配件,拼多多,已成交,2026-03,8838.33,9043.94,9043.94,退换订单,PC 经营采购,顾客0281,顾客0281,1**********,1**********
联想（Lenovo）,轻薄本,天猫,已成交,2026-01,5762.96,6261.02,6261.02,销售订单,PC 经营采购,顾客0282,顾客0282,1**********,1**********
微星,游戏本,拼多多,已成交,2026-08,8625.38,9749.72,9749.72,销售订单,PC 经营采购,顾客0283,顾客0283,1**********,1**********
宏碁（acer）,一体机,京东,撤销,2026-01,,6644.97,14.65,销售订单,PC 经营采购,顾客0284,顾客0284,1**********,1**********
联想（Lenovo）,笔记本电脑,天猫,已成交,2026-06,6396.66,6077.03,6077.03,退换订单,PC 经营采购,顾客0285,顾客0285,1**********,1**********
机械革命,显示器,抖音,已成交,2026-07,9512.2,7936.08,7936.08,退换订单,PC 经营采购,顾客0286,顾客0286,1**********,1**********
七彩虹,台式整机,抖音,已成交,2026-04,8884.33,6941.38,6941.38,采购订单,PC 经营采购,顾客0287,顾客0287,1**********,1**********
机械革命,台式整机,抖音,已成交,2026-08,9439.33,7904.83,7904.83,销售订单,PC 经营采购,顾客0288,顾客0288,1**********,1**********
ThinkPad,电脑配件,电商通,已成交,2026-07,7951.79,6421.92,6421.92,采购订单,PC 经营采购,顾客0289,顾客0289,1**********,1**********
宏碁（acer）,一体机,拼多多,已成交,2026-08,8051.05,7746.68,7746.68,采购订单,PC 经营采购,顾客0290,顾客0290,1**********,1**********
机械革命,笔记本电脑,拼多多,已成交,2026-05,8826.58,10262.35,10262.35,销售订单,PC 经营采购,顾客0291,顾客0291,1**********,1**********
ThinkPad,台式整机,快手,撤销,2026-04,,8333.87,57.94,销售订单,PC 经营采购,顾客0292,顾客0292,1**********,1**********
机械革命,一体机,天猫,已成交,2026-04,10221.26,9650.28,9650.28,退换订单,PC 经营采购,顾客0293,顾客0293,1**********,1**********
华硕（ASUS）,游戏本,天猫,已成交,2026-04,7659.19,10099.83,10099.83,采购订单,PC 经营采购,顾客0294,顾客0294,1**********,1**********
宏碁（acer）,一体机,天猫,已成交,2026-04,8112.71,7694.59,7694.59,销售订单,PC 经营采购,顾客0295,顾客0295,1**********,1**********
惠普(HP),笔记本电脑,拼多多,已成交,2026-01,6736.28,6996.19,6996.19,采购订单,PC 经营采购,顾客0296,顾客0296,1**********,1**********
ThinkPad,一体机,淘宝,报价中,2026-03,,6528.24,767.93,退换订单,PC 经营采购,顾客0297,顾客0297,1**********,1**********
ThinkPad,轻薄本,京东,已成交,2026-02,8197.64,8025.78,8025.78,退换订单,PC 经营采购,顾客0298,顾客0298,1**********,1**********
雷神,台式整机,抖音,已成交,2026-06,8959.03,8680.49,8680.49,销售订单,PC 经营采购,顾客0299,顾客0299,1**********,1**********
惠普(HP),显示器,淘宝,已成交,2026-04,8312.2,7442.48,7442.48,采购订单,PC 经营采购,顾客0300,顾客0300,1**********,1**********
七彩虹,台式整机,天猫,已成交,2026-02,8441.92,7355.1,7355.1,销售订单,PC 经营采购,顾客0301,顾客0301,1**********,1**********
惠普(HP),笔记本电脑,天猫,已成交,2026-01,8498.96,8995.96,8995.96,销售订单,PC 经营采购,顾客0302,顾客0302,1**********,1**********
微星,一体机,天猫,撤销,2026-04,,9480.51,141.85,销售订单,PC 经营采购,顾客0303,顾客0303,1**********,1**********
七彩虹,显示器,快手,报价中,2026-04,,8568.07,949.83,销售订单,PC 经营采购,顾客0304,顾客0304,1**********,1**********
机械革命,台式整机,淘宝,新建采购,2026-05,,10640.0,1232.59,销售订单,PC 经营采购,顾客0305,顾客0305,1**********,1**********
惠普(HP),显示器,抖音,已成交,2026-08,8299.59,8845.39,8845.39,退换订单,PC 经营采购,顾客0306,顾客0306,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-03,9427.26,9571.15,9571.15,销售订单,PC 经营采购,顾客0307,顾客0307,1**********,1**********
华硕（ASUS）,一体机,天猫,已成交,2026-02,9586.01,8568.08,8568.08,销售订单,PC 经营采购,顾客0308,顾客0308,1**********,1**********
